,abbreviation,expansion,whole_set
122,ac 3/4,grade 3 anterior chamber angle,"['ac 3/4', 'grade 3 anterior chamber angle']"
123,ac 4/4,grade 4 anterior chamber angle,"['ac 4/4', 'grade 4 anterior chamber angle']"
124,ac&hs,before meals and at bedtime,"['a.c.h.s', 'ac&hs', 'achs', 'afternoon', 'at bedtime', 'bedtime dosing', 'before eating', 'before meals and at bedtime', 'every night', 'h.s.', 'half strength', 'half-strength', 'heart sounds', 'heel-shin', 'high school', 'history', 'hor. decub.', 'hora somni', 'hs', 'hudson south', 'hx', 'o.n.', 'pacemaker', 'pcm', 'pm', 'polymyositis', 'post meridiem', 'postmortem', 'ppm', 'q.n.', 'qhs']"
125,ac/a,accommodative convergence to accommodation ratio,"['ac/a', 'accommodative convergence to accommodation ratio']"
126,aca,anterior cerebral artery,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
127,aca,anti-centromere antibodies,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
128,aca,anticardiolipin antibodies,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
129,acbe,air contrast barium enema,"['acbe', 'air contrast barium enema']"
130,acc,accommodation,"['acc', 'accommodation', 'agenesis of the corpus callosum']"
131,acc,agenesis of the corpus callosum,"['acc', 'accommodation', 'agenesis of the corpus callosum']"
132,accu,accu-chek,"['accu', 'accu-chek']"
133,ace,acetate,"['ace', 'acetate', 'angiotensin converting enzyme', 'antegrade colonic enema']"
134,ace,angiotensin converting enzyme,"['ace', 'acetate', 'angiotensin converting enzyme', 'antegrade colonic enema']"
135,ace,antegrade colonic enema,"['ace', 'acetate', 'angiotensin converting enzyme', 'antegrade colonic enema']"
136,ace-i,angiotensin converting enzyme inhibitor,"['ace-i', 'acei', 'angiotensin converting enzyme inhibitor']"
137,acei,angiotensin converting enzyme inhibitor,"['ace-i', 'acei', 'angiotensin converting enzyme inhibitor']"
138,acg,angle closure glaucoma,"['acg', 'angle closure glaucoma', 'cag']"
139,achs,"before eating, at bedtime","['a.c.h.s', 'ac&hs', 'achs', 'afternoon', 'at bedtime', 'bedtime dosing', 'before eating', 'before meals and at bedtime', 'every night', 'h.s.', 'half strength', 'half-strength', 'heart sounds', 'heel-shin', 'high school', 'history', 'hor. decub.', 'hora somni', 'hs', 'hudson south', 'hx', 'o.n.', 'pacemaker', 'pcm', 'pm', 'polymyositis', 'post meridiem', 'postmortem', 'ppm', 'q.n.', 'qhs']"
140,achs,before meals and at bedtime,"['a.c.h.s', 'ac&hs', 'achs', 'afternoon', 'at bedtime', 'bedtime dosing', 'before eating', 'before meals and at bedtime', 'every night', 'h.s.', 'half strength', 'half-strength', 'heart sounds', 'heel-shin', 'high school', 'history', 'hor. decub.', 'hora somni', 'hs', 'hudson south', 'hx', 'o.n.', 'pacemaker', 'pcm', 'pm', 'polymyositis', 'post meridiem', 'postmortem', 'ppm', 'q.n.', 'qhs']"
141,aciol,anterior chamber intraocular lens,"['aciol', 'anterior chamber intraocular lens']"
142,acl,acromioclavicular ligament,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
143,acl,anterior cruciate ligament,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
144,acl,anticardiolipin antibodies,"['aca', 'acl', 'acromioclavicular ligament', 'anterior cerebral artery', 'anterior cruciate ligament', 'anti-centromere antibodies', 'anticardiolipin antibodies']"
145,acle,acute cutaneous lupus erythematosus,"['acle', 'acute cutaneous lupus erythematosus']"
146,acls,advanced cardiac life support,"['acls', 'advanced cardiac life support']"
147,acnp,acute care nurse practitioner,"['acnp', 'acute care nurse practitioner']"
148,acp,acid phosphatase,"['acid phosphatase', 'acp']"
149,acpa,anti-citrullinated protein antibodies,"['acpa', 'anti-citrullinated protein antibodies']"
150,acr,american college of rheumatology,"['acr', 'american college of rheumatology']"
151,acs,acute coronary syndrome,"['acs', 'acute coronary syndrome', 'administration for child services']"
152,acs,administration for child services,"['acs', 'acute coronary syndrome', 'administration for child services']"
153,act,activated clotting time,"['act', 'activated clotting time']"
154,acth,adrenocorticotropic hormone,"['acth', 'adrenocorticotropic hormone']"
155,acth deficiency,adrenocorticotropic hormone deficiency,"['acth deficiency', 'adrenocorticotropic hormone deficiency']"
156,acu,ambulatory care unit,"['acu', 'ambulatory care unit']"
157,acug,arthrocutaneouveal granulomatosis,"['acug', 'arthrocutaneouveal granulomatosis']"
158,acv,assist control ventilation,"['acv', 'assist control ventilation']"
159,acvd,atherosclerotic cardiovascular disease,"['acvd', 'arteriosclerotic cardiovascular disease', 'ascvd', 'atherosclerotic cardiovascular disease']"
160,ad,adenosine,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
161,ad,admitting diagnosis,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
162,ad,advance directive,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
163,ad,advanced directive,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
164,ad,advertisement,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
165,ad,advised,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
166,ad,alzheimer's disease,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
167,ad,attachment disorder,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
168,ad,lib as desired,"['ad', 'adenosine', 'admitting diagnosis', 'advance directive', 'advanced directive', 'advertisement', 'advised', 'alzheimers disease', 'attachment disorder', 'lib as desired']"
169,ad lib,as desired,"['ad lib', 'as desired']"
170,ad lib.,freely,"['ad lib.', 'freely']"
171,ad us.,according to custom,"['according to custom', 'ad us.']"
172,ada,adenosine deaminase,"['ada', 'adenosine deaminase', 'american dental association', 'american diabetes association', 'americans with disabilities act']"
173,ada,american dental association,"['ada', 'adenosine deaminase', 'american dental association', 'american diabetes association', 'americans with disabilities act']"
174,ada,american diabetes association,"['ada', 'adenosine deaminase', 'american dental association', 'american diabetes association', 'americans with disabilities act']"
175,ada,americans with disabilities act,"['ada', 'adenosine deaminase', 'american dental association', 'american diabetes association', 'americans with disabilities act']"
176,add,addition,"['add', 'addition', 'attention deficit disorder', 'attention-deficit disorder']"
177,add,attention deficit disorder,"['add', 'addition', 'attention deficit disorder', 'attention-deficit disorder']"
178,add,attention-deficit disorder,"['add', 'addition', 'attention deficit disorder', 'attention-deficit disorder']"
179,add-rt,attention deficit disorder – residual type,"['add-rt', 'attention deficit disorder – residual type']"
180,ade,adverse drug effect,"['ade', 'adverse drug effect', 'adverse drug event']"
181,ade,adverse drug event,"['ade', 'adverse drug effect', 'adverse drug event']"
182,adem,acute disseminated encephalomyelitis,"['acute disseminated encephalomyelitis', 'adem']"
183,adh,antidiuretic hormone,"['adh', 'antidiuretic hormone']"
184,adhd,attention deficit hyperactivity disorder,"['adhd', 'attention deficit hyperactivity disorder', 'attention-deficit hyperactivity disorder']"
185,adhd,attention-deficit hyperactivity disorder,"['adhd', 'attention deficit hyperactivity disorder', 'attention-deficit hyperactivity disorder']"
186,adj,adjacent,"['adj', 'adjacent', 'adjective', 'adjusted', 'adjustment']"
187,adj,adjective,"['adj', 'adjacent', 'adjective', 'adjusted', 'adjustment']"
188,adj,adjusted,"['adj', 'adjacent', 'adjective', 'adjusted', 'adjustment']"
189,adj,adjustment,"['adj', 'adjacent', 'adjective', 'adjusted', 'adjustment']"
190,adl,activities of daily living,"['activities of daily living', 'adl', 'adls']"
191,adls,activities of daily living,"['activities of daily living', 'adl', 'adls']"
192,adm,admission,"['adm', 'admission']"
193,adr,adverse drug reaction,"['adr', 'adverse drug reaction']"
194,adrs,adverse drug reactions,"['adrs', 'adverse drug reactions']"
195,adtp,alcohol and drug treatment program,"['adtp', 'alcohol and drug treatment program']"
196,ae,above elbow,"['above elbow', 'adverse event', 'ae']"
197,ae,adverse event,"['above elbow', 'adverse event', 'ae']"
198,aeb,as evidenced by,"['aeb', 'as evidenced by']"
199,aeca,anti-endothelial cell antibodies,"['aeca', 'anti-endothelial cell antibodies']"
200,aed,antiepileptic drug,"['aed', 'antiepileptic drug', 'automated external defibrillator', 'automatic external defibrillator']"
201,aed,automated external defibrillator,"['aed', 'antiepileptic drug', 'automated external defibrillator', 'automatic external defibrillator']"
202,aed,automatic external defibrillator,"['aed', 'antiepileptic drug', 'automated external defibrillator', 'automatic external defibrillator']"
203,aer,acoustic evoked response,"['acoustic evoked response', 'aer', 'auditory evoked response']"
204,aer,auditory evoked response,"['acoustic evoked response', 'aer', 'auditory evoked response']"
205,aerd,aspirin exacerbated respiratory disease,"['aerd', 'aspirin exacerbated respiratory disease']"
206,af,afebrile,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
207,af,amniotic fluid,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
208,af,anterior fontanelle,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
209,af,antifungal,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
210,af,arthritis foundation,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
211,af,atrial fibrillation,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
212,af/fl,atrial fibrillation/flutter,"['af/fl', 'atrial fibrillation/flutter']"
213,afb,acid fast bacilli,"['acid fast bacilli', 'acid fast bacteria', 'acid-fast bacilli', 'afb']"
214,afb,acid fast bacteria,"['acid fast bacilli', 'acid fast bacteria', 'acid-fast bacilli', 'afb']"
215,afb,acid-fast bacilli,"['acid fast bacilli', 'acid fast bacteria', 'acid-fast bacilli', 'afb']"
216,afeb,afebrile,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
217,afi,amniotic fluid index,"['afi', 'amniotic fluid index']"
218,afib,atrial fibrillation,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
219,afo,ankle fixation orthotic,"['afo', 'ankle fixation orthotic']"
220,afp,alpha fetoprotein,"['afp', 'alpha fetoprotein', 'alpha-fetoprotein']"
221,afp,alpha-fetoprotein,"['afp', 'alpha fetoprotein', 'alpha-fetoprotein']"
222,afsf,anterior fontanelle soft and flat,"['afsf', 'anterior fontanelle soft and flat']"
223,afvss,"afebrile, vital signs stable","['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
224,ag,anion gap,"['acute glomerulonephritis', 'ag', 'agn', 'an-gap', 'anion gap', 'antigen']"
225,ag,antigen,"['acute glomerulonephritis', 'ag', 'agn', 'an-gap', 'anion gap', 'antigen']"
226,aga,appropriate for gestational age,"['aga', 'appropriate for gestational age']"
227,agit.,agitate,"['agit.', 'agitate']"
228,agn,acute glomerulonephritis,"['acute glomerulonephritis', 'ag', 'agn', 'an-gap', 'anion gap', 'antigen']"
229,agn,antigen,"['acute glomerulonephritis', 'ag', 'agn', 'an-gap', 'anion gap', 'antigen']"
230,ags,aicardi-goutières syndrome,"['ags', 'aicardi-goutières syndrome', 'aicardi–goutières syndrome']"
231,ags,aicardi–goutières syndrome,"['ags', 'aicardi-goutières syndrome', 'aicardi–goutières syndrome']"
232,agvhd,acute graft-versus-host disease,"['acute graft-versus-host disease', 'agvhd']"
233,ah,acquired hemophilia,"['acquired hemophilia', 'ah', 'asteroid hyalosis']"
234,ah,asteroid hyalosis,"['acquired hemophilia', 'ah', 'asteroid hyalosis']"
235,aha,acquired hemophilia a,"['acquired hemophilia a', 'aha', 'american hospital association']"
236,aha,american hospital association,"['acquired hemophilia a', 'aha', 'american hospital association']"
237,ahb,acquired hemophilia b,"['acquired hemophilia b', 'ahb']"
238,ahc,alternating hemiplegia of childhood,"['ahc', 'alternating hemiplegia of childhood']"
239,ahf,alkhurma hemorrhagic fever,"['ahf', 'alkhurma hemorrhagic fever']"
240,ahg,antihemophilic globulin,"['ahg', 'antihemophilic globulin']"
241,ahi,apnea-hypopnea index,"['ahi', 'apnea-hypopnea index']"
242,ahrq,agency for healthcare research and quality,"['agency for healthcare research and quality', 'ahrq']"
243,ai,aortic insufficiency,"['ai', 'aortic insufficiency']"
244,aicd,automatic implantable cardiac defibrillator,"['aicd', 'automatic implantable cardiac defibrillator', 'automatic implantable cardioverter defibrillator', 'automatic implantable cardioverter/defibrillator']"
245,aicd,automatic implantable cardioverter defibrillator,"['aicd', 'automatic implantable cardiac defibrillator', 'automatic implantable cardioverter defibrillator', 'automatic implantable cardioverter/defibrillator']"
246,aicd,automatic implantable cardioverter/defibrillator,"['aicd', 'automatic implantable cardiac defibrillator', 'automatic implantable cardioverter defibrillator', 'automatic implantable cardioverter/defibrillator']"
247,aid,artificial insemination by donor,"['aid', 'artificial insemination by donor']"
248,aids,acquired immune deficiency syndrome,"['acquired immune deficiency syndrome', 'acquired immunodeficiency syndrome', 'acquired immunodeficiency virus', 'aids']"
249,aids,acquired immunodeficiency syndrome,"['acquired immune deficiency syndrome', 'acquired immunodeficiency syndrome', 'acquired immunodeficiency virus', 'aids']"
250,aids,acquired immunodeficiency virus,"['acquired immune deficiency syndrome', 'acquired immunodeficiency syndrome', 'acquired immunodeficiency virus', 'aids']"
251,aih,artificial insemination by husband,"['aih', 'artificial insemination by husband']"
252,aim,associates in internal medicine,"['aim', 'associates in internal medicine']"
253,aims,arthritis impact measurement scales,"['aims', 'arthritis impact measurement scales']"
254,ain,acute interstitial nephritis,"['acute interstitial nephritis', 'ain', 'anterior interosseous nerve']"
255,ain,anterior interosseous nerve,"['acute interstitial nephritis', 'ain', 'anterior interosseous nerve']"
256,aip,acute intermittent porphyria,"['acute intermittent porphyria', 'aip']"
257,ait,after-image transfer,"['after-image transfer', 'ait']"
258,aitl,angioimmunoblastic t-cell lymphoma,"['aitl', 'angioimmunoblastic t-cell lymphoma']"
259,aivr,accelerated idioventricular rhythm,"['accelerated idioventricular rhythm', 'aivr']"
260,aj,ankle jerk,"['aj', 'ankle jerk']"
261,ak,actinic keratosis,"['actinic keratosis', 'ak']"
262,aka,above knee amputation,"['above knee amputation', 'above the knee amputation', 'aka', 'also known as']"
263,aka,above the knee amputation,"['above knee amputation', 'above the knee amputation', 'aka', 'also known as']"
264,aka,also known as,"['above knee amputation', 'above the knee amputation', 'aka', 'also known as']"
265,aki,acute kidney injury,"['acute kidney injury', 'aki']"
266,al,alabama,"['al', 'alabama', 'aluminum', 'aortic first sound']"
267,al,aluminum,"['al', 'alabama', 'aluminum', 'aortic first sound']"
268,al,aortic first sound,"['al', 'alabama', 'aluminum', 'aortic first sound']"
269,ala,aminolevulinic acid,"['ala', 'aminolevulinic acid']"
270,ala dd,doss porphyria/ala dehydratase deficiency/plumbo porphyria,"['ala dd', 'dorsalis pedis', 'doss porphyria/ala dehydratase deficiency/plumbo porphyria', 'dp']"
